time(ns),x,y,z,qw,qx,qy,qz
1718164077800019968,-61.0879,244.537,14.2459,0.749695,-0.000666693,-0.00747561,-0.661741
1718164077900096000,-61.0392,244.218,14.2453,0.756495,0.000252229,-0.00797762,-0.653951
1718164078000179968,-60.9835,243.902,14.2465,0.764135,0.0012273,-0.00837345,-0.645001
1718164078100278016,-60.9163,243.592,14.2479,0.772206,0.00179903,-0.00812772,-0.635317
1718164078200377088,-60.8422,243.285,14.2523,0.780779,0.00371049,-0.00759963,-0.624751
1718164078300492032,-60.7615,242.983,14.259,0.789544,0.00511469,-0.0062731,-0.613641
1718164078400635904,-60.6587,242.699,14.2553,0.797609,0.00159253,-0.00594384,-0.603143
1718164078500680960,-60.5503,242.424,14.2508,0.807145,-0.00198229,-0.00604087,-0.59032
1718164078600741888,-60.441,242.15,14.2494,0.816613,-0.00311807,-0.00700058,-0.577135
1718164078700843008,-60.3243,241.876,14.2507,0.824934,-0.00303271,-0.00713673,-0.565176
1718164078800894976,-60.203,241.604,14.2512,0.83325,-0.00118943,-0.00700892,-0.55285
1718164078900884992,-60.0728,241.336,14.2488,0.841703,0.000397316,-0.00627716,-0.539904
1718164079000884992,-59.9266,241.076,14.2444,0.849583,-0.000259026,-0.00406533,-0.52744
1718164079100877056,-59.769,240.825,14.2404,0.857202,-0.00228488,-0.00137374,-0.514974
1718164079200834048,-59.5999,240.58,14.2402,0.865028,-0.00489972,0.0026015,-0.501693
1718164079300773120,-59.4312,240.339,14.2393,0.87298,-0.00591242,0.00393871,-0.487704
1718164079400731904,-59.2608,240.1,14.2383,0.880775,-0.00554028,0.00384706,-0.473488
1718164079500674048,-59.085,239.862,14.2401,0.888577,-0.00314314,0.00378578,-0.458701
1718164079600605952,-58.9014,239.629,14.2414,0.896557,-0.000577228,0.00390545,-0.44291
1718164079700557056,-58.7058,239.407,14.2382,0.904339,0.000559054,0.00371626,-0.426799
1718164079800506112,-58.5003,239.196,14.2301,0.912079,0.000483864,0.00277866,-0.410005
1718164079900477952,-58.2835,238.994,14.2217,0.919564,-0.000872146,0.00199144,-0.392934
1718164080000463872,-58.0548,238.8,14.2148,0.926686,-0.00253578,0.00200541,-0.375822
1718164080100435968,-57.8178,238.611,14.2098,0.933553,-0.00369552,0.00219404,-0.358413
